phecode,male_only,female_only
516,FALSE,FALSE
516.1,FALSE,FALSE
519,FALSE,FALSE
519.1,FALSE,FALSE
519.2,FALSE,FALSE
519.8,FALSE,FALSE
519.9,FALSE,FALSE
520,FALSE,FALSE
520.1,FALSE,FALSE
520.2,FALSE,FALSE
521,FALSE,FALSE
521.1,FALSE,FALSE
521.2,FALSE,FALSE
521.4,FALSE,FALSE
522,FALSE,FALSE
522.1,FALSE,FALSE
522.5,FALSE,FALSE
523,FALSE,FALSE
523.1,FALSE,FALSE
523.3,FALSE,FALSE
523.31,FALSE,FALSE
523.32,FALSE,FALSE
524,FALSE,FALSE
524.3,FALSE,FALSE
525,FALSE,FALSE
525.1,FALSE,FALSE
525.2,FALSE,FALSE
526,FALSE,FALSE
526.1,FALSE,FALSE
526.3,FALSE,FALSE
526.4,FALSE,FALSE
526.41,FALSE,FALSE
526.42,FALSE,FALSE
526.5,FALSE,FALSE
526.8,FALSE,FALSE
526.9,FALSE,FALSE
527,FALSE,FALSE
527.1,FALSE,FALSE
527.2,FALSE,FALSE
527.7,FALSE,FALSE
527.8,FALSE,FALSE
528,FALSE,FALSE
528.1,FALSE,FALSE
528.11,FALSE,FALSE
528.12,FALSE,FALSE
528.3,FALSE,FALSE
528.4,FALSE,FALSE
528.41,FALSE,FALSE
528.5,FALSE,FALSE
528.6,FALSE,FALSE
528.7,FALSE,FALSE
529,FALSE,FALSE
529.1,FALSE,FALSE
529.6,FALSE,FALSE
530,FALSE,FALSE
530.1,FALSE,FALSE
530.11,FALSE,FALSE
530.12,FALSE,FALSE
